id,provider,model,category,description,context,input_per_m,output_per_m,cache_read_per_m,cache_write_per_m,available_providers,context_tokens
anthropic/claude-sonnet-4,anthropic,claude-sonnet-4,General / Reasoning,"Claude Sonnet 4 significantly improves on Sonnet 3.7's industry-leading capabilities, excelling in coding with a state-of-the-art 72.7% on SWE-bench. The model balances performance and efficiency for internal and external use cases, with enhanced steerability for greater control over implementations. While not matching Opus 4 in most domains, it delivers an optimal mix of capability and practicality.",200K,3.0,15.0,0.3,3.75,3,200000
openai/gpt-5,openai,gpt-5,General / Reasoning,"GPT-5 is OpenAI's flagship language model that excels at complex reasoning, broad real-world knowledge, code-intensive, and multi-step agentic tasks.",400K,1.25,10.0,0.13,,1,400000
google/gemini-2.0-flash,google,gemini-2.0-flash,General / Reasoning,"Gemini 2.0 Flash delivers next-gen features and improved capabilities, including superior speed, built-in tool use, multimodal generation, and a 1M token context window.",1M,0.15,0.6,,,1,1000000
openai/gpt-4.1-nano,openai,gpt-4.1-nano,General / Reasoning,"GPT-4.1 nano is the fastest, most cost-effective GPT 4.1 model.",1M,0.1,0.4,0.03,,2,1000000
openai/gpt-5-mini,openai,gpt-5-mini,General / Reasoning,"GPT-5 mini is a cost optimized model that excels at reasoning/chat tasks. It offers an optimal balance between speed, cost, and capability.",400K,0.25,2.0,0.03,,1,400000
google/gemini-2.5-pro,google,gemini-2.5-pro,General / Reasoning,"Gemini 2.5 Pro is our most advanced reasoning Gemini model, capable of solving complex problems. It features a 2M token context window and supports multimodal inputs including text, images, audio, video, and PDF documents.",1M,2.5,10.0,,,1,1000000
google/gemini-2.5-flash,google,gemini-2.5-flash,General / Reasoning,"Gemini 2.5 Flash is a thinking model that offers great, well-rounded capabilities. It is designed to offer a balance between price and performance with multimodal support and a 1M token context window.",1M,0.3,2.5,,,1,1000000
google/gemini-2.5-flash-lite,google,gemini-2.5-flash-lite,General / Reasoning,"Gemini 2.5 Flash-Lite is a balanced, low-latency model with configurable thinking budgets and tool connectivity (e.g., Google Search grounding and code execution). It supports multimodal input and offers a 1M-token context window.",1M,0.1,0.4,,,1,1000000
openai/gpt-4.1,openai,gpt-4.1,General / Reasoning,GPT 4.1 is OpenAI's flagship model for complex tasks. It is well suited for problem solving across domains.,1M,2.0,8.0,0.5,,2,1000000
openai/text-embedding-3-small,openai,text-embedding-3-small,Embedding,"OpenAI's improved, more performant version of their ada embedding model. Input Tokens $0.02/M azure logo openai logo Available on 2 providers openai logo",,0.02,,,,2,
openai/gpt-4.1-mini,openai,gpt-4.1-mini,General / Reasoning,"GPT 4.1 mini provides a balance between intelligence, speed, and cost that makes it an attractive model for many use cases.",1M,0.4,1.6,0.1,,2,1000000
anthropic/claude-3.7-sonnet,anthropic,claude-3.7-sonnet,General / Reasoning,"Claude 3.7 Sonnet is the first hybrid reasoning model and Anthropic's most intelligent model to date. It delivers state-of-the-art performance for coding, content generation, data analysis, and planning tasks, building upon its predecessor Claude 3.5 Sonnet's capabilities in software engineering and computer use.",200K,3.0,15.0,0.3,3.75,3,200000
openai/gpt-5-nano,openai,gpt-5-nano,General / Reasoning,GPT-5 nano is a high throughput model that excels at simple instruction or classification tasks.,400K,0.05,0.4,0.01,,1,400000
deepseek/deepseek-v3.1,deepseek,deepseek-v3.1,General / Reasoning,"DeepSeek-V3.1 is post-trained on the top of DeepSeek-V3.1-Base, which is built upon the original V3 base checkpoint through a two-phase long context extension approach, following the methodology outlined in the original DeepSeek-V3 report. DeepSeek has expanded their dataset by collecting additional long documents and substantially extending both training phases.",164K,0.2,0.8,,,5,164000
openai/gpt-4o,openai,gpt-4o,General / Reasoning,GPT-4o from OpenAI has broad general knowledge and domain expertise allowing it to follow complex instructions in natural language and solve difficult problems accurately. It matches GPT-4 Turbo performance with a faster and cheaper API.,128K,2.5,10.0,1.25,,2,128000
moonshotai/kimi-k2-0905,moonshotai,kimi-k2-0905,General / Reasoning,"Kimi K2 0905 is an updated version of Kimi K2, a state-of-the-art mixture-of-experts (MoE) language model with 32 billion activated parameters and 1 trillion total parameters. Kimi K2 0905 has improved coding abilities, a longer context window, and agentic tool use, and a longer (262K) context window.",256K,0.6,1.2,,,3,256000
moonshotai/kimi-k2,moonshotai,kimi-k2,General / Reasoning,State of the art language model for agentic and coding tasks,131K,0.5,2.0,,,7,131000
alibaba/qwen3-coder,alibaba,qwen3-coder,Coding / Code-Assist,"Qwen3 Coder 480B is a specialized programming model designed for ultra-efficient agentic code generation with long context and state-of-the-art performance. It excels at writing, debugging, and explaining code across multiple programming languages.",131K,0.4,1.6,,,5,131000
anthropic/claude-opus-4.1,anthropic,claude-opus-4.1,General / Reasoning,"Claude Opus 4.1 is a drop-in replacement for Opus 4 that delivers superior performance and precision for real-world coding and agentic tasks. Opus 4.1 advances state-of-the-art coding performance to 74.5% on SWE-bench Verified, and handles complex, multi-step problems with more rigor and attention to detail.",200K,15.0,75.0,1.5,18.75,3,200000
openai/gpt-4o-mini,openai,gpt-4o-mini,General / Reasoning,GPT-4o mini from OpenAI is their most advanced and cost-efficient small model. It is multi-modal (accepting text or image inputs and outputting text) and has higher intelligence than gpt-3.5-turbo but is just as fast.,128K,0.15,0.6,0.07,,2,128000
openai/gpt-oss-120b,openai,gpt-oss-120b,General / Reasoning,"Extremely capable general-purpose LLM with strong, controllable reasoning capabilities",131K,0.1,0.5,,,5,131000
xai/grok-code-fast-1,xai,grok-code-fast-1,Coding / Code-Assist,xAI's latest coding model that offers fast agentic coding with a 256K context window.,256K,0.2,1.5,,,1,256000
stealth/sonoma-sky-alpha,stealth,sonoma-sky-alpha,General / Reasoning,A maximally intelligent general-purpose frontier model with a 2 million token context window. Supports image inputs and parallel tool calling. Note: prompts and responses may be retained and used for training by the provider during the stealth period.,2M,0.0,0.0,,,1,2000000
anthropic/claude-3.5-sonnet,anthropic,claude-3.5-sonnet,General / Reasoning,"Claude 3.5 Sonnet strikes the ideal balance between intelligence and speed—particularly for enterprise workloads. It delivers strong performance at a lower cost compared to its peers, and is engineered for high endurance in large-scale AI deployments.",200K,3.0,15.0,0.3,3.75,3,200000
google/gemini-2.0-flash-lite,google,gemini-2.0-flash-lite,General / Reasoning,"Gemini 2.0 Flash delivers next-gen features and improved capabilities, including superior speed, built-in tool use, multimodal generation, and a 1M token context window.",1M,0.07,0.3,,,1,1000000
xai/grok-3-mini,xai,grok-3-mini,General / Reasoning,xAI's lightweight model that thinks before responding. Great for simple or logic-based tasks that do not require deep domain knowledge. The raw thinking traces are accessible.,131K,0.3,0.5,,,1,131000
xai/grok-4,xai,grok-4,General / Reasoning,"xAI's latest and greatest flagship model, offering unparalleled performance in natural language, math and reasoning - the perfect jack of all trades.",256K,3.0,15.0,,,1,256000
xai/grok-3,xai,grok-3,General / Reasoning,"xAI's flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science.",131K,3.0,15.0,,,1,131000
perplexity/sonar,perplexity,sonar,General / Reasoning,"Perplexity's lightweight offering with search grounding, quicker and cheaper than Sonar Pro.",127K,1.0,1.0,,,1,127000
anthropic/claude-3.5-haiku,anthropic,claude-3.5-haiku,General / Reasoning,"Claude 3.5 Haiku is the next generation of our fastest model. For a similar speed to Claude 3 Haiku, Claude 3.5 Haiku improves across every skill set and surpasses Claude 3 Opus, the largest model in our previous generation, on many intelligence benchmarks.",200K,0.8,4.0,0.08,1.0,3,200000
mistral/codestral-embed,mistral,codestral-embed,Embedding,Code embedding model that can embed code databases and repositories to power coding assistants. Input Tokens $0.15/M mistral logo Available on 1 provider xai logo,,0.15,,,,1,
xai/grok-3-fast,xai,grok-3-fast,General / Reasoning,"xAI's flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science. The fast model variant is served on faster infrastructure, offering response times that are significantly faster than the standard. The increased speed comes at a higher cost per output token.",131K,5.0,25.0,,,1,131000
deepseek/deepseek-v3,deepseek,deepseek-v3,General / Reasoning,Fast general-purpose LLM with enhanced reasoning capabilities,164K,0.77,0.77,,,4,164000
zai/glm-4.5,zai,glm-4.5,General / Reasoning,"GLM-4.5 and GLM-4.5-Air are our latest flagship models, purpose-built as foundational models for agent-oriented applications. Both leverage a Mixture-of-Experts (MoE) architecture. GLM-4.5 has a total parameter count of 355B with 32B active parameters per forward pass, while GLM-4.5-Air adopts a more streamlined design with 106B total parameters and 12B active parameters.",128K,0.6,2.2,,,2,128000
meta/llama-4-maverick,meta,llama-4-maverick,General / Reasoning,High-efficiency language processing,1M,0.15,0.6,,,4,1000000
openai/gpt-3.5-turbo,openai,gpt-3.5-turbo,General / Reasoning,"OpenAI's most capable and cost effective model in the GPT-3.5 family optimized for chat purposes, but also works well for traditional completions tasks.",16K,0.5,1.5,,,1,16000
mistral/pixtral-12b,mistral,pixtral-12b,General / Reasoning,A 12B model with image understanding capabilities in addition to text.,128K,0.15,0.15,,,1,128000
openai/gpt-oss-20b,openai,gpt-oss-20b,General / Reasoning,"A compact, open-weight language model optimized for low-latency and resource-constrained environments, including local and edge deployments",128K,0.07,0.3,,,2,128000
stealth/sonoma-dusk-alpha,stealth,sonoma-dusk-alpha,General / Reasoning,A fast and intelligent general-purpose frontier model with a 2 million token context window. Supports image inputs and parallel tool calling. Note: prompts and responses may be retained and used for training by the provider during the stealth period.,2M,0.0,0.0,,,1,2000000
meta/llama-4-scout,meta,llama-4-scout,General / Reasoning,"The Llama-4-Scout-17B-16E-Instruct model is a state-of-the-art, instruction-tuned, multimodal AI model developed by Meta as part of the Llama 4 family. It is designed to handle both text and image inputs, making it suitable for a wide range of applications, including conversational AI, code generation, and visual reasoning.",128K,0.08,0.3,,,6,128000
perplexity/sonar-pro,perplexity,sonar-pro,General / Reasoning,"Perplexity's premier offering with search grounding, supporting advanced queries and follow-ups.",200K,3.0,15.0,,,1,200000
xai/grok-2-vision,xai,grok-2-vision,General / Reasoning,"Grok 2 vision model excels in vision-based tasks, delivering state-of-the-art performance in visual math reasoning (MathVista) and document-based question answering (DocVQA). It can process a wide variety of visual information including documents, diagrams, charts, screenshots, and photographs.",33K,2.0,10.0,,,1,33000
google/gemini-embedding-001,google,gemini-embedding-001,Embedding,"State-of-the-art embedding model with excellent performance across English, multilingual and code tasks. Input Tokens $0.15/M google logo vertex logo Available on 2 providers mistral logo",,0.15,,,,2,
mistral/mistral-small,mistral,mistral-small,General / Reasoning,"Mistral Small is the ideal choice for simple tasks that one can do in bulk - like Classification, Customer Support, or Text Generation. It offers excellent performance at an affordable price point.",32K,0.1,0.3,,,1,32000
mistral/codestral,mistral,codestral,Coding / Code-Assist,"Mistral Codestral 25.01 is a state-of-the-art coding model optimized for low-latency, high-frequency use cases. Proficient in over 80 programming languages, it excels at tasks like fill-in-the-middle (FIM), code correction, and test generation.",256K,0.3,0.9,,,1,256000
google/gemini-2.5-flash-image-preview,google,gemini-2.5-flash-image-preview,Image Gen / Multimodal,"Image Generation Gemini 2.5 Flash Image Preview is our first fully hybrid reasoning model, letting developers turn thinking on or off and set thinking budgets to balance quality, cost, and latency. Upgraded for rapid creative workflows, it can generate interleaved text and images and supports conversational, multi‑turn image editing in natural language. It’s also locale‑aware, enabling culturally and linguistically appropriate image generation for audiences worldwide.",1M,0.3,2.5,,,1,1000000
zai/glm-4.5-air,zai,glm-4.5-air,General / Reasoning,"GLM-4.5 and GLM-4.5-Air are our latest flagship models, purpose-built as foundational models for agent-oriented applications. Both leverage a Mixture-of-Experts (MoE) architecture. GLM-4.5 has a total parameter count of 355B with 32B active parameters per forward pass, while GLM-4.5-Air adopts a more streamlined design with 106B total parameters and 12B active parameters.",128K,0.2,1.1,,,1,128000
alibaba/qwen-3-235b,alibaba,qwen-3-235b,General / Reasoning,Mixture-of-experts LLM with math and reasoning capabilities,262K,0.13,0.6,,,4,262000
openai/text-embedding-ada-002,openai,text-embedding-ada-002,Embedding,OpenAI's legacy text embedding model. Input Tokens $0.10/M azure logo openai logo Available on 2 providers deepseek logo,,0.1,,,,2,
deepseek/deepseek-r1,deepseek,deepseek-r1,General / Reasoning,"DeepSeek Reasoner is a specialized model developed by DeepSeek that uses Chain of Thought (CoT) reasoning to improve response accuracy. Before providing a final answer, it generates detailed reasoning steps that are accessible through the API, allowing users to examine and leverage the model's thought process, served by Fireworks AI.",160K,0.79,4.0,,,3,160000
anthropic/claude-3-haiku,anthropic,claude-3-haiku,General / Reasoning,"Claude 3 Haiku is Anthropic's fastest model yet, designed for enterprise workloads which often involve longer prompts. Haiku to quickly analyze large volumes of documents, such as quarterly filings, contracts, or legal cases, for half the cost of other models in its performance tier.",200K,0.25,1.25,0.03,0.3,3,200000
openai/o4-mini,openai,o4-mini,General / Reasoning,"OpenAI's o4-mini delivers fast, cost-efficient reasoning with exceptional performance for its size, particularly excelling in math (best-performing on AIME benchmarks), coding, and visual tasks.",200K,1.1,4.4,0.28,,2,200000
openai/text-embedding-3-large,openai,text-embedding-3-large,Embedding,OpenAI's most capable embedding model for both english and non-english tasks. Input Tokens $0.13/M azure logo openai logo Available on 2 providers openai logo,,0.13,,,,2,
openai/o3,openai,o3,General / Reasoning,"OpenAI's o3 is their most powerful reasoning model, setting new state-of-the-art benchmarks in coding, math, science, and visual perception. It excels at complex queries requiring multi-faceted analysis, with particular strength in analyzing images, charts, and graphics.",200K,2.0,8.0,0.5,,1,200000
alibaba/qwen3-max,alibaba,qwen3-max,General / Reasoning,"Qwen3-Max improves instruction following, multilingual ability, and tool use; reduced hallucinations.",262K,1.2,6.0,0.24,,1,262000
anthropic/claude-opus-4,anthropic,claude-opus-4,General / Reasoning,"Claude Opus 4 is Anthropic's most powerful model yet and the best coding model in the world, leading on SWE-bench (72.5%) and Terminal-bench (43.2%). It delivers sustained performance on long-running tasks that require focused effort and thousands of steps, with the ability to work continuously for several hours—dramatically outperforming all Sonnet models and significantly expanding what AI agents can accomplish.",200K,15.0,75.0,1.5,18.75,3,200000
openai/o3-mini,openai,o3-mini,General / Reasoning,"o3-mini is OpenAI's most recent small reasoning model, providing high intelligence at the same cost and latency targets of o1-mini.",200K,1.1,4.4,0.55,,2,200000
xai/grok-2,xai,grok-2,General / Reasoning,"Grok 2 is a frontier language model with state-of-the-art reasoning capabilities. It features advanced capabilities in chat, coding, and reasoning, outperforming both Claude 3.5 Sonnet and GPT-4-Turbo on the LMSYS leaderboard.",131K,2.0,10.0,,,1,131000
vercel/v0-1.5-md,vercel,v0-1.5-md,General / Reasoning,"Access the model behind v0 to generate, fix, and optimize modern web apps with framework-specific reasoning and up-to-date knowledge.",128K,3.0,15.0,,,1,128000
anthropic/claude-3-opus,anthropic,claude-3-opus,General / Reasoning,"Claude 3 Opus is Anthropic's most intelligent model, with best-in-market performance on highly complex tasks. It can navigate open-ended prompts and sight-unseen scenarios with remarkable fluency and human-like understanding. Opus shows us the outer limits of what's possible with generative AI.",200K,15.0,75.0,1.5,18.75,3,200000
openai/gpt-4o,openai,gpt-4o,General / Reasoning,GPT-4o from OpenAI has broad general knowledge and domain expertise allowing it to follow complex instructions in natural language and solve difficult problems accurately. It matches GPT-4 Turbo performance with a faster and cheaper API.,128K,2.5,10.0,1.25,,2,128000
amazon/nova-pro,amazon,nova-pro,General / Reasoning,"A highly capable multimodal model with the best combination of accuracy, speed, and cost for a wide range of tasks.",300K,0.8,3.2,,,1,300000
moonshotai/kimi-k2-turbo,moonshotai,kimi-k2-turbo,General / Reasoning,"Kimi K2 Turbo is the high-speed version of kimi-k2, with the same model parameters as kimi-k2, but the output speed is increased to 60 tokens per second, with a maximum of 100 tokens per second, the context length is 256k",256K,2.4,10.0,,,1,256000
meituan/longcat-flash-chat,meituan,longcat-flash-chat,General / Reasoning,LongCat-Flash-Chat is a high-throughput MoE chat model (128k context) optimized for agentic tasks.,128K,0.0,0.0,,,1,128000
meta/llama-3.3-70b,meta,llama-3.3-70b,General / Reasoning,"The upgraded Llama 3.1 70B model features enhanced reasoning, tool use, and multilingual abilities, along with a significantly expanded 128K context window. These improvements make it well-suited for demanding tasks such as long-form summarization, multilingual conversations, and coding assistance.",128K,0.72,0.72,,,3,128000
meta/llama-3.1-8b,meta,llama-3.1-8b,General / Reasoning,"Llama 3.1 8B brings powerful performance in a smaller, more efficient package. With improved multilingual support, tool use, and a 128K context length, it enables sophisticated use cases like interactive agents and compact coding assistants while remaining lightweight and accessible.",128K,0.05,0.08,,,3,128000
vercel/v0-1.0-md,vercel,v0-1.0-md,General / Reasoning,"Access the model behind v0 to generate, fix, and optimize modern web apps with framework-specific reasoning and up-to-date knowledge.",128K,3.0,15.0,,,1,128000
alibaba/qwen-3-14b,alibaba,qwen-3-14b,General / Reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support",41K,0.06,0.24,,,1,41000
deepseek/deepseek-v3.1-thinking,deepseek,deepseek-v3.1-thinking,General / Reasoning,"DeepSeek-V3.1 marks DeepSeek's first step toward the agent era with revolutionary hybrid inference capabilities. Operates in two modes: Think and Non-Think. The Think variant delivers faster reasoning compared to DeepSeek-R1-0528, reaching answers more efficiently while maintaining high-quality outputs. Enhanced through specialized post-training, the model excels at tool usage and complex multi-step agent tasks.",128K,0.56,1.68,0.07,,1,128000
xai/grok-3-mini-fast,xai,grok-3-mini-fast,General / Reasoning,"xAI's lightweight model that thinks before responding. Great for simple or logic-based tasks that do not require deep domain knowledge. The raw thinking traces are accessible. The fast model variant is served on faster infrastructure, offering response times that are significantly faster than the standard. The increased speed comes at a higher cost per output token.",131K,0.6,4.0,,,1,131000
morph/morph-v3-large,morph,morph-v3-large,Coding / Code-Assist,Morph offers a specialized AI model that applies code changes suggested by frontier models (like Claude or GPT-4o) to your existing code files FAST - 2500+ tokens/second. It acts as the final step in the AI coding workflow. Supports 16k input tokens and 16k output tokens.,82K,0.9,1.9,,,1,82000
alibaba/qwen-3-30b,alibaba,qwen-3-30b,General / Reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models. Built upon extensive training, Qwen3 delivers groundbreaking advancements in reasoning, instruction-following, agent capabilities, and multilingual support",41K,0.08,0.29,,,1,41000
