model,capabilities
claude-sonnet-4,"context, orchestration"
gpt-5,"multimodal, long-context, orchestration"
gemini-2.0-flash,"multi-context, orchestration, economy, speed"
gpt-4.1-nano,"economy, speed, orchestration, multi-context"
gpt-5-mini,"long-context, orchestration"
gemini-2.5-pro,"orchestration, multi-context, multimodal"
gemini-2.5-flash,"orchestration, multi-context, multimodal"
gemini-2.5-flash-lite,"multi-context, orchestration, economy, speed"
gpt-4.1,"orchestration, multi-context"
text-embedding-3-small,"economy, context, orchestration"
gpt-4.1-mini,"orchestration, multi-context"
claude-3.7-sonnet,"context, orchestration"
gpt-5-nano,"economy, speed, long-context, orchestration"
deepseek-v3.1,"context, speed"
gpt-4o,"context, orchestration"
kimi-k2-0905,context
kimi-k2,context
qwen3-coder,"context, multimodal"
claude-opus-4.1,"context, orchestration, multimodal"
gpt-4o-mini,"orchestration, economy, context, speed"
gpt-oss-120b,"economy, context, orchestration, speed"
grok-code-fast-1,context
sonoma-sky-alpha,"economy, speed, multi-context, multimodal"
claude-3.5-sonnet,"context, orchestration"
gemini-2.0-flash-lite,"multi-context, orchestration, economy, speed"
grok-3-mini,"context, speed"
grok-4,context
grok-3,context
sonar,context
claude-3.5-haiku,"context, orchestration"
codestral-embed,"economy, context"
grok-3-fast,context
deepseek-v3,"context, speed"
glm-4.5,context
llama-4-maverick,"economy, speed, multi-context"
gpt-3.5-turbo,"context, orchestration"
pixtral-12b,"economy, context, multimodal, speed"
gpt-oss-20b,"economy, context, orchestration, speed"
sonoma-dusk-alpha,"economy, speed, multi-context, multimodal"
llama-4-scout,"economy, context, multimodal, speed"
sonar-pro,context
grok-2-vision,"context, multimodal"
gemini-embedding-001,"economy, context, orchestration, multimodal"
mistral-small,"economy, context, speed"
codestral,"context, speed"
gemini-2.5-flash-image-preview,"orchestration, multi-context, multimodal"
glm-4.5-air,context
qwen-3-235b,"economy, context, speed"
text-embedding-ada-002,"economy, context, orchestration"
deepseek-r1,context
claude-3-haiku,"context, orchestration"
o4-mini,"context, orchestration"
text-embedding-3-large,"economy, context, orchestration"
o3,"context, orchestration, multimodal"
qwen3-max,"context, multimodal"
claude-opus-4,"context, orchestration"
o3-mini,"context, orchestration"
grok-2,context
v0-1.5-md,context
claude-3-opus,"context, orchestration"
gpt-4o,"context, orchestration"
nova-pro,"context, multimodal"
kimi-k2-turbo,context
longcat-flash-chat,"economy, context, speed"
llama-3.3-70b,"context, multimodal, speed"
llama-3.1-8b,"economy, context, multimodal, speed"
v0-1.0-md,context
qwen-3-14b,"economy, context, multimodal, speed"
deepseek-v3.1-thinking,"context, multimodal"
grok-3-mini-fast,context
morph-v3-large,context
qwen-3-30b,"economy, context, multimodal, speed"
gemma-2-9b,"context, orchestration, speed"
morph-v3-fast,context
nova-micro,"economy, context, speed"
gpt-4-turbo,"context, orchestration"
mistral-embed,"economy, context"
titan-embed-text-v2,"economy, context, multimodal"
deepseek-r1-distill-llama-70b,"context, multimodal, speed"
ministral-3b,"economy, context, speed"
qwen-3-32b,"economy, context, speed"
mistral-large,context
magistral-small,context
command-a,"context, multimodal"
deepseek-v3.1-base,"context, speed"
nova-lite,"economy, context, multimodal, speed"
glm-4.5v,context
sonar-reasoning,context
llama-3.2-1b,"economy, context, multimodal, speed"
pixtral-large,"context, multimodal"
sonar-reasoning-pro,"context, multimodal"
mixtral-8x22b-instruct,context
llama-3.2-3b,"economy, context, multimodal, speed"
devstral-small,"economy, context, multimodal, speed"
mistral-medium,context
o1,"context, orchestration, multimodal"
ministral-8b,"economy, context, speed"
llama-3.2-90b,"context, multimodal, speed"
llama-3.1-70b,"context, multimodal, speed"
mercury-coder-small,context
text-embedding-005,"economy, context, orchestration"
command-r,"economy, context, speed"
magistral-medium,context
embed-v4.0,"economy, context, multimodal"
llama-3.2-11b,"economy, context, multimodal, speed"
command-r-plus,context
voyage-3.5-lite,"economy, context"
voyage-code-2,"economy, context"
voyage-law-2,"economy, context"
voyage-finance-2,"economy, context"
text-multilingual-embedding-002,"economy, context, orchestration, multimodal"
voyage-3.5,"economy, context, multimodal"
voyage-code-3,"economy, context"
voyage-3-large,"economy, context, multimodal"
llama-3-8b,"economy, context, speed"
gpt-3.5-turbo-instruct,"context, orchestration"
llama-3-70b,"context, speed"
