Musarty DB ID,API,Model ID,Model Name,Provider,Context,Tags,Categories,Key Capabilities,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4,Description,Logo Image url,Online,Idle,Ofline,UI Template ID,Use Case,Musarty ID,Template ID,API Endpoint URL
,AI Gateway,anthropic/claude-sonnet-4,Claude Sonnet 4,Anthropic,200K,,,"Coding, Efficiency, Steerable, Context",Coding,Efficiency,Steerable,Context,"Significant upgrade over Sonnet 3.7, excelling in coding (72.7% SWE-bench) and advanced reasoning with enhanced steerability, delivering a balance of performance and practicality",,,,,,,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.0-flash,Gemini 2.0 Flash,Google DeepMind,1M,,,"Speed, Tools, Multimodal, Context",Speed,Tools,Multimodal,Context,"Experimental Gemini model delivering next-gen agentic features – extremely fast responses, integrated tool usage, multimodal output, and a 1 million-token context window",,,,,,,google/gemini-2.0-flash,google/gemini-2.0-flash,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4.1-nano,GPT-4.1 Nano,OpenAI,1M,,,"Fast, Cheap, Context, Smart",Fast,Cheap,Context,Smart,"The fastest and cheapest GPT-4.1 family model, with a 1M token context and surprisingly high performance (e.g. 80.1% MMLU), ideal for simple classification or autocomplete tasks requiring minimal latency",,,,,,,openai/gpt-4.1-nano,openai/gpt-4.1-nano,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-5-mini,GPT-5 Mini,OpenAI,400K,,,"Scaled, Balanced, Reasoning, Coding",Scaled,Balanced,Reasoning,Coding,"A smaller variant of GPT-5 that trades off some capability for cost and speed, still excelling at reasoning and coding tasks while offering much lower latency and cost than the full GPT-5.",,,,,,,openai/gpt-5-mini,openai/gpt-5-mini,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.5-pro,Gemini 2.5 Pro,Google DeepMind,1M,,,"Advanced, Reasoning, Coding, Context",Advanced,Reasoning,Coding,Context,"Google DeepMind’s most advanced reasoning model for complex problems – leads benchmarks in reasoning and coding, supports multimodal inputs and up to a 2 million-token context window for solving very large tasks",,,,,,,google/gemini-2.5-pro,google/gemini-2.5-pro,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.5-flash,Gemini 2.5 Flash,Google DeepMind,1M,,,"Rounded, Agentic, Multimodal, Context",Rounded,Agentic,Multimodal,Context,"A balanced “thinking” model that offers strong all-around capabilities, with configurable reasoning budgets and multimodal support, giving great performance per cost and a 1M-token context window",,,,,,,google/gemini-2.5-flash,google/gemini-2.5-flash,https://gateway.ai.vercel.com/v1
,AI Gateway,google/gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,Google DeepMind,1M,,,"Low-latency, Configurable, Tools, Multimodal",Low-latency,Configurable,Tools,Multimodal,"A low-latency variant of Flash designed for speed: allows configurable extended thinking budgets and has built-in tool integrations (e.g. Google search, code execution), with support for multimodal inputs and a 1M-token context",,,,,,,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4.1,GPT-4.1,OpenAI,1M,,,"Coding, Following, Context, Latest",Coding,Following,Context,Latest,"A major GPT-4 upgrade that significantly boosts coding (+21.4% SWE-bench) and instruction-following (+10.5% MultiChallenge) compared to GPT-4o, with a 1M token context and a refreshed knowledge cutoff (June 2024) for superior long-context comprehension",,,,,,,openai/gpt-4.1,openai/gpt-4.1,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/text-embedding-3-small,Text Embedding v3 Small,OpenAI,N/A,,,"Embeddings, Cheap, Multilingual, Search",Embeddings,Cheap,Multilingual,Search,"OpenAI’s improved, more performant embedding model (Ada successor) for semantic similarity and search tasks, delivering strong results at a very low cost per token.",,,,,,,openai/text-embedding-3-small,openai/text-embedding-3-small,https://gateway.ai.vercel.com/v1
,AI Gateway,openai/gpt-4.1-mini,GPT-4.1 Mini,OpenAI,1M,,,"Small, Smart, Fast, Balanced",Small,Smart,Fast,Balanced,"A significant leap in small-model performance – GPT-4.1 Mini rivals GPT-4o in intelligence while cutting latency nearly in half and cost by over 80%, offering a great balance of speed and capability",,,,,,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,https://gateway.ai.vercel.com/v1
