Musarty DB ID,API,Model ID,Model Name,Provider,Context,Tags,Categories,Key Capabilities,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4,Description,Logo Image url,Online,Idle,Ofline,UI Template ID,Use Case,Musarty ID,Template ID,API Endpoint URL
,AI Gateway,alibaba/qwen-3-14b,Qwen 3 14b,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen 3 14b - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen-3-14b,alibaba/qwen-3-14b,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-235b,Qwen 3 235b,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen 3 235b - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen-3-235b,alibaba/qwen-3-235b,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-30b,Qwen 3 30b,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen 3 30b - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen-3-30b,alibaba/qwen-3-30b,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen-3-32b,Qwen 3 32b,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen 3 32b - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen-3-32b,alibaba/qwen-3-32b,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen3-coder,Qwen3 Coder,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen3 Coder - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen3-coder,alibaba/qwen3-coder,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen3-max,Qwen3 Max,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen3 Max - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen3-max,alibaba/qwen3-max,https://gateway.ai.vercel.com/v1
,AI Gateway,alibaba/qwen3-next-80b-a3b-instruct,Qwen3 Next 80b A3b Instruct,alibaba,128K,,,"General, AI, Assistant",General,AI,Assistant,,"alibaba Qwen3 Next 80b A3b Instruct - AI model available through Vercel AI Gateway",,,,,,,alibaba/qwen3-next-80b-a3b-instruct,alibaba/qwen3-next-80b-a3b-instruct,https://gateway.ai.vercel.com/v1
,AI Gateway,amazon/nova-lite,Nova Lite,amazon,128K,,,"General, AI, Assistant",General,AI,Assistant,,"amazon Nova Lite - AI model available through Vercel AI Gateway",,,,,,,amazon/nova-lite,amazon/nova-lite,https://gateway.ai.vercel.com/v1
,AI Gateway,amazon/titan-embed-text-v2,Titan Embed Text V2,amazon,128K,,,"General, AI, Assistant",General,AI,Assistant,,"amazon Titan Embed Text V2 - AI model available through Vercel AI Gateway",,,,,,,amazon/titan-embed-text-v2,amazon/titan-embed-text-v2,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3-haiku,Claude 3 Haiku,Anthropic,200K,,,"Reasoning, Coding, Fast",Reasoning,Coding,Fast,,"Anthropic Claude 3 Haiku - AI model available through Vercel AI Gateway",,,,,,,anthropic/claude-3-haiku,anthropic/claude-3-haiku,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3-opus,Claude 3 Opus,Anthropic,200K,,,"Reasoning, Coding, Fast",Reasoning,Coding,Fast,,"Anthropic Claude 3 Opus - AI model available through Vercel AI Gateway",,,,,,,anthropic/claude-3-opus,anthropic/claude-3-opus,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3.5-haiku,Claude 3.5 Haiku,Anthropic,200K,,,"Reasoning, Coding, Fast",Reasoning,Coding,Fast,,"Anthropic Claude 3.5 Haiku - AI model available through Vercel AI Gateway",,,,,,,anthropic/claude-3.5-haiku,anthropic/claude-3.5-haiku,https://gateway.ai.vercel.com/v1
,AI Gateway,anthropic/claude-3.5-sonnet,Claude 3.5 Sonnet,Anthropic,200K,,,"Reasoning, Coding, Fast",Reasoning,Coding,Fast,,"Anthropic Claude 3.5 Sonnet - AI model available through Vercel AI Gateway",,,,,,,anthropic/claude-3.5-sonnet,anthropic/claude-3.5-sonnet,https://gateway.ai.vercel.com/v1
